
=== python ===
('7', 'md5', 4.5, 1, 0.1720000000204891, 'python')
('4', 'md5', 4.5, 1, 0.1720000000204891, 'python')
('g', 'md5', 4.5, 1, 0.18699999997625127, 'python')
('Z', 'md5', 4.5, 1, 0.20300000003771856, 'python')
('k', 'md5', 4.5, 1, 0.21899999998277053, 'python')
('!', 'md5', 4.5, 1, 0.2190000000409782, 'python')
('Q', 'md5', 4.5, 1, 0.23399999999674037, 'python')
('#', 'md5', 4.5, 1, 0.23399999999674037, 'python')
('@', 'md5', 4.5, 1, 0.23499999998603016, 'python')
('A', 'md5', 4.5, 1, 0.25, 'python')
('9K', 'md5', 4.5, 2, 0.4059999999590218, 'python')
('t%', 'md5', 4.5, 2, 0.40600000001722947, 'python')
('_q', 'md5', 4.5, 2, 0.4220000000204891, 'python')
('3x', 'md5', 4.5, 2, 0.4220000000204891, 'python')
('M@', 'md5', 4.5, 2, 0.4369999999762513, 'python')
('&B', 'md5', 4.5, 2, 0.43799999996554106, 'python')
('!m', 'md5', 4.5, 2, 0.4529999999795109, 'python')
('#F', 'md5', 4.5, 2, 0.46799999999348074, 'python')
('T1', 'md5', 4.5, 2, 0.46899999998277053, 'python')
('a$', 'md5', 4.5, 2, 0.5, 'python')
